810 x,1,y,2.5,2.75
811 y,2.5,x,1.25,1.5
812 x,1.25,y,2.5,2.75
813 y,2.5,x,1.5,1.75
814 x,1.5,y,2.5,2.75
815 y,2.5,x,1.75,2
816 x,1.75,y,2.5,2.75
817 y,2.5,x,2,2.25
818 x,2,y,2.5,2.75
819 y,2.5,x,2.25,2.5
820 x,2.25,y,2.5,2.75
821 y,2.5,x,2.5,2.75
822 x,2.5,y,2.5,2.75
823 y,2.5,x,2.75,3
824 x,2.75,y,2.5,2.75
825 y,2.5,x,3,3.25
826 x,3,y,2.5,2.75
827 y,2.5,x,3.25,3.5
828 x,3.25,y,2.5,2.75
829 y,2.5,x,3.5,3.75
830 x,3.5,y,2.5,2.75
831 y,2.5,x,3.75,4
832 x,3.75,y,2.5,2.75
833 y,2.5,x,4,4.25
834 x,4,y,2.5,2.75
835 y,2.5,x,4.25,4.5
836 x,4.25,y,2.5,2.75
837 y,2.5,x,4.5,4.75
838 x,4.5,y,2.5,2.75
839 y,2.5,x,4.75,5
840 x,4.75,y,2.5,2.75
841 y,2.5,x,5,5.25
842 x,5,y,2.5,2.75
843 y,2.5,x,5.25,5.5
844 x,5.25,y,2.5,2.75
845 y,2.5,x,5.5,5.75
846 x,5.5,y,2.5,2.75
847 y,2.5,x,5.75,6
